Метка,Семантический класс,"Цвет, [r, g, b]",Категория объектов
0,wall (стена),"[120, 120, 120]",Статический фоновый
1,building;edifice (здание; строение),"[180, 120, 120]",Особый (ключевой)
2,sky (небо),"[6, 230, 230]",Статический фоновый
3,floor;flooring (пол),"[80, 50, 50]",Статический фоновый
4,tree (дерево),"[4, 200, 3]",Статический фоновый
5,ceiling (потолок),"[120, 120, 80]",Статический фоновый
6,road;route (дорога),"[140, 140, 140]",Статический фоновый
7,bed (кровать),"[204, 5, 255]",Особый (ключевой)
8,windowpane;window (оконное стекло; окно),"[230, 230, 230]",Статический фоновый
9,grass (трава),"[4, 250, 7]",Статический фоновый
10,cabinet (кабинет),"[224, 5, 255]",Статический фоновый
11,sidewalk;pavement (тротуар),"[235, 255, 7]",Статический фоновый
12,person (человек),"[150, 5, 61]",Динамический
13,earth;ground (земля),"[120, 120, 70]",Статический фоновый
14,door;double;door (дверь),"[8, 255, 51]",Особый (ключевой)
15,table (стол),"[255, 6, 82]",Статический фоновый
16,mountain;mount (гора),"[143, 255, 140]",Статический фоновый
17,plant;flora (растение; флора),"[204, 255, 4]",Статический фоновый
18,curtain;drape;drapery;mantle;pall (занавеска; драпировка),"[255, 51, 7]",Статический фоновый
19,chair (стул),"[204, 70, 3]",Динамический
20,car;auto;automobile;machine;motorcar (автомобиль;машина),"[0, 102, 200]",Динамический
21,water (вода),"[61, 230, 250]",Статический фоновый
22,painting;picture (картина),"[255, 6, 51]",Особый (ключевой)
23,sofa;couch;lounge (диван),"[11, 102, 255]",Статический фоновый
24,shelf (полка),"[255, 7, 71]",Статический фоновый
25,house (дом),"[255, 9, 224]",Особый (ключевой)
26,sea (море),"[9, 7, 230]",Статический фоновый
27,mirror (зеркало),"[220, 220, 220]",Статический фоновый
28,rug;carpet;carpeting (ковер; ковровое покрытие),"[255, 9, 92]",Статический фоновый
29,field (поле),"[112, 9, 255]",Статический фоновый
30,armchair (кресло),"[8, 255, 214]",Статический фоновый
31,seat (сиденье),"[7, 255, 224]",Статический фоновый
32,fence;fencing (забор; ограждение),"[255, 184, 6]",Статический фоновый
33,desk (рабочий стол),"[10, 255, 71]",Статический фоновый
34,rock;stone (скала; камень),"[255, 41, 10]",Статический фоновый
35,wardrobe;closet;press (гардероб;шкаф),"[7, 255, 255]",Статический фоновый
36,lamp (лампа),"[224, 255, 8]",Статический фоновый
37,bathtub;bathing;tub;bath;tub (ванна),"[102, 8, 255]",Статический фоновый
38,railing;rail (перила),"[255, 61, 6]",Статический фоновый
39,cushion (мягкий борт),"[255, 194, 7]",Статический фоновый
40,base;pedestal;stand (основание;пьедестал;подставка),"[255, 122, 8]",Статический фоновый
41,box (коробка),"[0, 255, 20]",Динамический
42,column;pillar (колонна;столб),"[255, 8, 41]",Статический фоновый
43,signboard;sign (вывеска;знак),"[255, 5, 153]",Особый (ключевой)
44,chest;of;drawers;chest;bureau;dresser (комод; бюро),"[6, 51, 255]",Статический фоновый
45,counter (прилавок),"[235, 12, 255]",Статический фоновый
46,sand (песок),"[160, 150, 20]",Статический фоновый
47,sink (раковина),"[0, 163, 255]",Статический фоновый
48,skyscraper (небоскреб),"[140, 140, 140]",Особый (ключевой)
49,fireplace;hearth;open;fireplace (камин;очаг),"[0250, 10, 15]",Особый (ключевой)
50,refrigerator;icebox (холодильник),"[20, 255, 0]",Особый (ключевой)
51,grandstand;covered;stand (трибуна),"[31, 255, 0]",Статический фоновый
52,path (путь),"[255, 31, 0]",Статический фоновый
53,stairs;steps (лестница),"[255, 224, 0]",Особый (ключевой)
54,runway (взлетная полоса),"[153, 255, 0]",Статический фоновый
55,case;display;case;showcase;vitrine (витрина),"[0, 0, 255]",Статический фоновый
56,"pool table;billiard (бильярд, бильярдный стол)","[255, 71, 0]",Особый (ключевой)
57,pillow (подушка),"[0, 235, 255]",Динамический
58,door screen (дверная ширма),"[0, 173, 255]",Статический фоновый
59,stairway;staircase (лестничный пролет),"[31, 0, 255]",Особый (ключевой)
60,river (река),"[11, 200, 200]",Статический фоновый
61,bridge;span (пролет моста),"[255 ,82, 0]",Особый (ключевой)
62,bookcase (книжный шкаф),"[0, 255, 245]",Статический фоновый
63,blind screen (жалюзи),"[0, 61, 255]",Статический фоновый
64,coffee;table;cocktail;table (кофейный столик),"[0, 255, 112]",Статический фоновый
65,toilet; (туалет),"[0, 255, 133]",Особый (ключевой)
66,flower (цветок),"[255, 0, 0]",Динамический
67,book (книга),"[255, 163, 0]",Динамический
68,hill (холм),"[255, 102, 0]",Статический фоновый
69,bench (лавка),"[194, 255, 0]",Особый (ключевой)
70,countertop (столешница),"[0, 143, 255]",Статический фоновый
71,stove;kitchen stove (кухонная плита),"[51, 255, 0]",Особый (ключевой)
72,palm;palm;tree (пальма),"[0, 82, 255]",Статический фоновый
73,kitchen;island (кухонный остров),"[0, 255, 41]",Статический фоновый
74,computer;computing machine (компьютер),"[0, 255, 173]",Статический фоновый
75,swivel;chair (вращающийся стул),"[10, 0, 255]",Динамический
76,boat (лодка),"[173, 255, 0]",Динамический
77,bar (бар),"[0, 255, 153]",Статический фоновый
78,arcade;machine (игровой автомат),"[255, 92, 0]",Особый (ключевой)
79,hovel;hut; (лачуга; шалаш),"[255, 0, 255]",Особый (ключевой)
80,bus (автобус),"[255, 0, 245]",Динамический
81,towel (полотенце),"[255, 0, 102]",Динамический
82,light (источник света),"[255, 173, 0]",Статический фоновый
83,truck;motortruck (грузовик),"[255, 0, 20]",Динамический
84,tower (башня),"[255, 184, 184]",Статический фоновый
85,chandelier;pendant;pendent (люстра),"[0, 31, 255]",Особый (ключевой)
86,awning;sunshade (тент;навес;солнцезащитная шторка),"[0, 255, 61]",Статический фоновый
